Situacao	Var_Desconto	Descricao	Codigo	Preco_Original	Preco_A_Vista	Preço_A_Credito	Parcela	Valor_Parcela	Produto	Desconsiderar	Desmembrar	Avaliacao
Ducha Higiênica Luxo Quadrada Metal Cromada 1/4 De Volta	Cód. 1571059762	(0)	R$ 125,99cada	Cód. 85388891	(1)		R$ 612,57cada		duchas-higienicas		6x de R$ 102,09 s/juros	Ducha Higiênica com Derivação 1,2m Cromada Targa Deca
		Ducha Higiênica Leão Branco Com Gatilho Abs C25 1800	Cód. 1571502670	(0)					duchas-higienicas		R$ 76,60cada	
OFERTA	-5%	Ducha Higiênica Exacta Cromado Metais - Tigre	Cód. 1566948413	(0)	R$ 251,90 cada		R$ 239,30cada		duchas-higienicas		2x de R$ 119,65 s/juros	
		Ducha Higiênica Chuveirinho Intima Banheiro 120 Cm Preta C65	Cód. 1571312275	(0)					duchas-higienicas		R$ 71,99cada	
OFERTA	-14%	Ducha Higiênica Metal Gatilho Mangueira 1,20 Mt Sem Registro	Cód. 1571462969	(0)	R$ 69,89 cada		R$ 59,41cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Gatilho Metal E Alavanca Quadrada 7705	Cód. 1570779640	(0)	R$ 79,99 cada		R$ 67,99cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	50 Unidades Ducha Higiênica Metal Cromado C40 1.20m Completa	Cód. 1571058699	R$ 3.949,57 cada	R$ 3.357,13cada		à vista no pix		duchas-higienicas		R$ 3.949,57 em até 8x de R$ 493,70 s/juros	(0)
		Ducha Higiênica Luxo Abs Cromada Acionamento 1/4 D Volta	Cód. 1567485611	(0)					duchas-higienicas		R$ 54,90cada	
OFERTA	-15%	Kit Ducha Higiênica C50 Del Metais	Cód. 1571447882	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C53	Cód. 1566939843	(0)	R$ 87,00 cada		R$ 73,95cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta Metal Ducha D...	Cód. 1567971295	(0)	R$ 78,99 cada		R$ 67,14cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta Metal Ducha D...	Cód. 1567971308	(0)	R$ 85,78 cada		R$ 72,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Kit Premium Abs Cromada Acionamento ¼ Volta C...	Cód. 1569977281	(0)	R$ 73,00 cada		R$ 62,05cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C40 1/4 Volta	Cód. 1566939853	(0)	R$ 79,89 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C29 1/4 Volta	Cód. 1566939850	(0)	R$ 87,00 cada		R$ 73,95cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C33	Cód. 1566939832	(0)	R$ 79,89 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Em Abs C34 Cromada Acionamento 1/4 Volta Del	Cód. 1571468432	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C40	Cód. 1566939834	(0)	R$ 79,65 cada		R$ 67,70cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit 4 Ducha Higiênica De Banheiro 1,20m C-70 1/4 Volta Metal	Cód. 1571121331	R$ 315,67 cada	R$ 268,32cada		à vista no pix		duchas-higienicas		R$ 315,67 em até 3x de R$ 105,22 s/juros	(0)
		Kit Para Ducha Higiênica Gatilho + Flexível 1,20 M + Suporte	Cód. 1567519835	(0)					duchas-higienicas		R$ 44,99cada	
OFERTA	-15%	Ducha Higiênica Cromado ¼ De Volta C/ Gatilho Abs	Cód. 1570759410	(0)	R$ 75,25 cada		R$ 63,96cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica De Metal C72 Cromada Acionamento 1/4 Volta De...	Cód. 1571436396	(0)	R$ 87,00 cada		R$ 73,95cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C31 1/4 Volta	Cód. 1566939847	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit 2 Ducha Higiênica De Banheiro 1,20m C-70 1/4 Volta Metal	Cód. 1571121330	(0)	R$ 157,81 cada		R$ 134,14cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Cromado C-40 1.20m 1/4 Volta	Cód. 1569279653	(0)	R$ 79,25 cada		R$ 67,36cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C23	Cód. 1566939841	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Imperatriz Metal Cromado 2020 C40 Gatilho Abs	Cód. 1568440351	(0)	R$ 78,21 cada		R$ 66,48cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Cromado Registro Luxo 1/4 Volta Del Met...	Cód. 1571469143	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Gatilho Mangueira 1,80 Mt Sem Registro	Cód. 1571471506	(0)	R$ 71,00 cada		R$ 60,35cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Kit Premium Abs Cromada Acionamento ¼ Volta C...	Cód. 1571471511	(0)	R$ 75,00 cada		R$ 63,75cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Kit Premium Abs Cromada Acionamento ¼ Volta C...	Cód. 1571464936	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica De Metal 1/4 De Volta Com Flexível Inox C-70	Cód. 1571436377	(0)	R$ 79,89 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Em Abs C34 Cromada Acionamento 1/4 Volta Del	Cód. 1571436350	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Gatilho Mangueira 1,20 Mt Sem Registro	Cód. 1571436391	(0)	R$ 69,00 cada		R$ 58,65cada		duchas-higienicas		à vista no pix	
		Kit Ducha Higiênica Monocomando Unic Gold E Base Deca	Cód. 1568873367	(0)			R$ 3.599,90cada	8x de R$ 449,99 s/juros	duchas-higienicas			
OFERTA	-15%	Ducha Higiênica Metal Cromado C-52 1.20m 1/4 Volta	Cód. 1569279659	(0)	R$ 79,90 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C40	Cód. 1566939855	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C55 1/4 Volta	Cód. 1566939835	(0)	R$ 87,98 cada		R$ 74,78cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Quadrado Abs Cromada 1/4 Volta Cor: Cromado	Cód. 1571436325	(0)	R$ 84,00 cada		R$ 71,40cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Gatilho Mangueira 1,80 Mt Sem Registro	Cód. 1571436406	(0)	R$ 72,00 cada		R$ 61,20cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Engate Flexível Mangueira Chuveirinho Ducha Higiênica 120 Cm	Cód. 1571464839	(0)	R$ 40,00 cada		R$ 34,00cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C53 1/4 Volta	Cód. 1566939848	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit 12 Ducha Higiênica De Banheiro 1,20m C-70 1/4 Volta Metal	Cód. 1571121329	R$ 947,87 cada	R$ 805,69cada		à vista no pix		duchas-higienicas		R$ 947,87 em até 8x de R$ 118,48 s/juros	(0)
OFERTA	-15%	Ducha Higiênica Metal Cromado C-50 1.20m Completa	Cód. 1569279654	(0)	R$ 79,39 cada		R$ 67,48cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C52	Cód. 1566939842	(0)	R$ 79,89 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Gatilho Mangueira 1,80cm Cor:cromado	Cód. 1571453991	(0)	R$ 84,00 cada		R$ 71,40cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Gatilho Metal Linha Luxo 7707	Cód. 1570601253	(0)	R$ 89,54 cada		R$ 76,11cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Cromado Registro Luxo 1/4 Volta Del Met...	Cód. 1571436359	(0)	R$ 78,90 cada		R$ 67,06cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit Ducha Higiênica C50	Cód. 1570906474	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C52	Cód. 1566939858	(0)	R$ 82,90 cada		R$ 70,46cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta E Ducha De Mã...	Cód. 1567971296	(0)	R$ 79,99 cada		R$ 67,99cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta Metal Ducha D...	Cód. 1567971281	(0)	R$ 85,78 cada		R$ 72,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C27	Cód. 1566939828	(0)	R$ 79,25 cada		R$ 67,36cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C40	Cód. 1566939857	(0)	R$ 79,81 cada		R$ 67,84cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta E Ducha De Mã...	Cód. 1567971254	(0)	R$ 79,90 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C50	Cód. 1566939846	(0)	R$ 79,29 cada		R$ 67,40cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C50 1/4 Volta	Cód. 1566939837	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C53	Cód. 1566939839	(0)	R$ 79,38 cada		R$ 67,47cada		duchas-higienicas		à vista no pix	
OFERTA	-30%	Ducha Higiênica Metal Cromado C-40 1.20m Completa	Cód. 1569279660	(0)	R$ 102,90 cada				duchas-higienicas		R$ 71,90cada	
OFERTA	-15%	Ducha Higiênica Em Metal Cromado Volante C61	Cód. 1567340319	(0)	R$ 82,90 cada		R$ 70,46cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C52 1/4 Volta	Cód. 1566939830	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal Soft C29 1/4 Volta	Cód. 1566939845	(0)	R$ 99,00 cada		R$ 84,15cada		duchas-higienicas		à vista no pix	
		Gatilho Para Ducha Higienica/chuveirinho Abs Cromado	Cód. 1567519833	(0)					duchas-higienicas		R$ 23,99cada	
OFERTA	-15%	Ducha Higiênica Completa Em Metal Cromado Mega	Cód. 1568440350	(0)	R$ 79,46 cada		R$ 67,54cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Banheiro Vol. C-72 Cromado Mangueira Cor: Cro...	Cód. 1571471507	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Luxo Abs Cromada Acionamento 1/4 D Volta Del	Cód. 1571464932	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta E Ducha De Mã...	Cód. 1567971256	(0)	R$ 89,99 cada		R$ 76,49cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C41 1/4 Volta	Cód. 1566939849	(0)	R$ 79,89 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	10 Unidades Ducha Higiênica Metal Cromado C40 1.20m Completa	Cód. 1571058700	R$ 789,59 cada	R$ 671,15cada		à vista no pix		duchas-higienicas		R$ 789,59 em até 7x de R$ 112,80 s/juros	(0)
OFERTA	-15%	Ducha Higienica Gatilho Metal C31	Cód. 1566939831	(0)	R$ 79,98 cada		R$ 67,98cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Gatilho Metal C27	Cód. 1566939851	(0)	R$ 79,80 cada		R$ 67,83cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Cromado C-52 1.20m Completa	Cód. 1569279657	(0)	R$ 79,99 cada		R$ 67,99cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Metal C23	Cód. 1566939836	(0)	R$ 79,10 cada		R$ 67,23cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Metal C64 1/4 Volta	Cód. 1566939856	(0)	R$ 79,99 cada		R$ 67,99cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta Metal Ducha D...	Cód. 1567971261	(0)	R$ 78,99 cada		R$ 67,14cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Engate Flexível Mangueira Chuveirinho Ducha Higiênica 120 Cm	Cód. 1571436360	(0)	R$ 39,00 cada		R$ 33,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	50 Unidades Ducha Higiênica Roda Em Metal Cromado C40 1.20m C...	Cód. 1571447920	R$ 3.950,00 cada	R$ 3.357,50cada		à vista no pix		duchas-higienicas		R$ 3.950,00 em até 8x de R$ 493,75 s/juros	(0)
OFERTA	-15%	Ducha Higiênica Em Metal Cromado Volante C39	Cód. 1567340320	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit 6 Ducha Higiênica De Banheiro 1,20m C-70 1/4 Volta Metal	Cód. 1571121325	R$ 471,87 cada	R$ 401,09cada		à vista no pix		duchas-higienicas		R$ 471,87 em até 4x de R$ 117,97 s/juros	(0)
OFERTA	-15%	Ducha Higiênica Quadrado Abs Cromada 1/4 Volta Cor: Cromado	Cód. 1571453995	(0)	R$ 84,00 cada		R$ 71,40cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Luxo Abs Cromada Acionamento 1/4 De Volta Fle...	Cód. 1571436361	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Completa Com Registro 1/4 Volta Metal Ducha D...	Cód. 1567971266	(0)	R$ 78,99 cada		R$ 67,14cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Kit Ducha Higiênica C34 Del Metais	Cód. 1571436378	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Gatilho Mangueira 1,80cm Cor:cromado	Cód. 1571471508	(0)	R$ 79,98 cada		R$ 67,98cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Luxo Abs Cromada Acionamento 1/4 D Volta Del	Cód. 1571436363	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Cromada Del Metais	Cód. 1571464807	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Kit Premium Abs Cromada Acionamento ¼ Volta C...	Cód. 1571453992	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Luxo Metal Com Gatilho Abs 1/4 Volta 7744	Cód. 1566946105	(2)	R$ 75,00 cada		R$ 63,75cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higienica Light C33	Cód. 1566939844	(0)	R$ 79,80 cada		R$ 67,83cada		duchas-higienicas		à vista no pix	
		Ducha Higiênica C/ Derivação - Mais Flex	Cód. 1569327422	(0)			R$ 231,30cada	2x de R$ 115,65 s/juros	duchas-higienicas			
		Ducha Higiênica Dourada Luxo Completa Banheiro Lavabo	Cód. 1569832292	(0)			R$ 504,96cada	5x de R$ 100,99 s/juros	duchas-higienicas			
		Kit Ducha Higiênica Gatilho Quadrado + Flexível 1,20 Preto	Cód. 1571044570	(0)					duchas-higienicas		R$ 66,99cada	
OFERTA	-15%	Ducha Higiênica Luxo Abs Cromada Acionamento 1/4 D Volta Del	Cód. 1571436404	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-9%	Ducha Higiênica Em Aço Inox Com Acionamento 1/4 De Volta	Cód. 1571417507	(0)	R$ 199,00 cada				duchas-higienicas		R$ 179,99cada	
OFERTA	-15%	Kit Ducha Higiênica C40 Del Metais Abs	Cód. 1571447907	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Engate Mangueira Flexível 1,20m Inox Ducha Higiênica Chuveiro...	Cód. 1571436408	(1)	R$ 39,00 cada		R$ 33,15cada		duchas-higienicas		à vista no pix	
		Ducha Higiênica (chuveirinho) Acionamento1/4 De Volta	Cód. 1571417505	(0)					duchas-higienicas		R$ 89,99cada	
OFERTA	-15%	Ducha Higiênica Metal Cromado C40 1.20m Completa	Cód. 1571453990	(1)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
		Ducha Higiênica Com Derivador - Breton	Cód. 1571409946	(0)			R$ 335,16cada	3x de R$ 111,72 s/juros	duchas-higienicas			
OFERTA	-15%	Engate Mangueira Flexível 1,20m Inox Ducha Higiênica Chuveiro...	Cód. 1571464872	(0)	R$ 43,00 cada		R$ 36,55cada		duchas-higienicas		à vista no pix	
OFERTA	-9%	Ducha Higiênica Inox Preto Com Registro Nox15b Doan	Cód. 1571199382	(0)	R$ 109,90 cada				duchas-higienicas		R$ 99,90cada	
		Engate Flexível P/ Ducha Higiênica Preto Fosco Black Edition	Cód. 1571310607	(0)					duchas-higienicas		R$ 31,99cada	
		Ducha Higiênica Preto Fosco Com Acionamento 1/4 De Volta	Cód. 1571417506	(0)					duchas-higienicas		R$ 139,99cada	
OFERTA	-7%	Ducha Higiênica Com Acionamento 1/4 De Volta Banheiros	Cód. 1571417508	(0)	R$ 139,99 cada				duchas-higienicas		R$ 129,99cada	
OFERTA	-15%	Kit Ducha Higiênica C34	Cód. 1570906475	(0)	R$ 75,00 cada		R$ 63,75cada		duchas-higienicas		à vista no pix	
OFERTA	-4%	Ducha Higiênica Fame Com Registro E Derivação Cromada	Cód. 1570819939	(0)	R$ 149,90 cada		R$ 143,90cada		duchas-higienicas		à vista no pix	
		Gatilho Metal Para Ducha Higiênica 7711	Cód. 1570666716	(0)					duchas-higienicas		R$ 29,90cada	
		Ducha Higienica Intimo Metal Chuveirinho Luxo Banheiro Suport...	Cód. 1570589519	(0)					duchas-higienicas		R$ 175,90cada	
		Ducha Higiênica Luxo Quadrada Metal Preto/black 1/4 De Volta	Cód. 1570770863	(0)					duchas-higienicas		R$ 134,99cada	
		Ducha Chuveirinho De Mao Com Filtro Hinigienico Chuveiro Pulv...	Cód. 1570813518	(0)					duchas-higienicas		R$ 42,50cada	
OFERTA	-15%	Ducha Higienica Completa Redonda C61 Preto Fosco Black Matte	Cód. 1571414362	(0)	R$ 89,90 cada		R$ 76,41cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Metal Cromado C40 1.20m Completa	Cód. 1571436330	(0)	R$ 76,00 cada		R$ 64,60cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Em Metal Cromado Com Flexível De Inox C-40	Cód. 1571448081	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Banheiro Vol. C-72 Cromado Mangueira Cor: Cro...	Cód. 1571436319	(0)	R$ 78,00 cada		R$ 66,30cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Banheiro Vol. C-72 Cromado Mangueira Cor: Cro...	Cód. 1571453993	(0)	R$ 79,90 cada		R$ 67,91cada		duchas-higienicas		à vista no pix	
OFERTA	-15%	Ducha Higiênica Para Banheiro Mangueira 1,2m Completa Qualida...	Cód. 1571414373	(0)	R$ 39,90 cada		R$ 33,91cada		duchas-higienicas		à vista no pix	
OFERTA	-16%	Ducha Higiênica Alavanca C70 Gatilho Metal Cromado Banheiro	Cód. 1571266466	(0)	R$ 86,11 cada				duchas-higienicas		R$ 71,76cada	
OFERTA	-9%	Kit Ducha Pop Branca C/registro Desviador E Flexível Inox 1,2...	Cód. 1571199381	(0)	R$ 96,90 cada				duchas-higienicas		R$ 87,90cada	
OFERTA	-16%	Ducha Higiênica C/ Alavanca C62 Gatilho Quadrado Cromado	Cód. 1571255234	(0)	R$ 84,74 cada				duchas-higienicas		R$ 70,61cada	
		Ducha Higiênica Super Metal Flex 1 20m 1/4 Volta Fauzi C73	Cód. 1571223472	(0)					duchas-higienicas		R$ 139,90cada	
OFERTA	-15%	Ducha Higiênica Luxo 100% Metal Completa ¼ Volta C-70 Cor:cro...	Cód. 1571436328	(0)	R$ 79,00 cada		R$ 67,15cada		duchas-higienicas		à vista no pix	
OFERTA	-4%	Kit Ducha Higiênica Luxo Cromada C/t P/ponto Adicional Censi	Cód. 1571295951	(0)	R$ 179,90 cada		R$ 172,70cada		duchas-higienicas		à vista no pix	
		Desviador Chuveiro Ducha	Cód. 1570934908	(0)			R$ 511,19cada	5x de R$ 102,24 s/juros	duchas-higienicas			
OFERTA	-4%	Ducha Manual Com Desviador Docol 934306 R95 Cromada - Único	Cód. 1568650062	R$ 1.179,90 cada	R$ 1.132,70cada		à vista no pix		duchas-higienicas		R$ 1.179,90 em até 8x de R$ 147,49 s/juros	(0)
		Kit Completo Ducha Higienica Inox Blukit 220933	Cód. 1568719326	(0)					duchas-higienicas		R$ 85,57cada	
		Kit Ducha Higiênica Monocomando Level Red Gold E Base Deca	Cód. 1568873362	(0)			R$ 3.459,90cada	8x de R$ 432,49 s/juros	duchas-higienicas			
		Kit Ducha Higiênica Monocomando Unic Cromado E Base Deca	Cód. 1568873365	(0)			R$ 2.999,90cada	8x de R$ 374,99 s/juros	duchas-higienicas			
		Kit Ducha Higiênica Monocomando Unic Gold Matte E Base Deca	Cód. 1568873364	(0)			R$ 3.699,90cada	8x de R$ 462,49 s/juros	duchas-higienicas			
		Ducha Higiênica Dream Com Registro Corten Matte Deca	Cód. 1569278194	(0)			R$ 3.999,90cada	8x de R$ 499,99 s/juros	duchas-higienicas			
		Ducha Higiênica S/ Derivação - New Quadra	Cód. 1569327417	(0)			R$ 555,85cada	5x de R$ 111,17 s/juros	duchas-higienicas			
		Chuveiro Quadrado Inox Chuveiro Slim Chuveiro Moderno Jiwi Me...	Cód. 1566810871	(0)					duchas-higienicas		R$ 100,81cada	
		Ducha Higiênica Cromada Luxo Modelo Quadrado 1/4 De Volta	Cód. 1571598671	(0)					duchas-higienicas		R$ 162,00cada	
OFERTA	-4%	Ducha Higiênica Docol City 876948 Com Registro E Derivação Gr...	Cód. 1568026213	R$ 1.199,90 cada	R$ 1.151,90cada		à vista no pix		duchas-higienicas		R$ 1.199,90 em até 8x de R$ 149,99 s/juros	(0)
OFERTA	-4%	Docol-nova Riva Ducha Higienica Chrome	Cód. 1571024896	R$ 359,90 cada	R$ 345,50cada		à vista no pix		duchas-higienicas		R$ 359,90 em até 3x de R$ 119,97 s/juros	(0)
		Ducha Higiênica Gatilho Alavanca Quadrada Rosê Gold 7801	Cód. 1571204502	(0)			R$ 269,90cada	2x de R$ 134,95 s/juros	duchas-higienicas			
OFERTA	-10%	Ducha Higiênica Para Banheiro Cromado Gatilho Abs 1/4 Volta	Cód. 1569706562	(0)	R$ 152,62 cada		R$ 137,36cada		duchas-higienicas		à vista no pix	
		Chuveiro Ducha Articulado Industrial Rústico Ouro Velho	Cód. 1571573321	(0)					duchas-higienicas		R$ 169,99cada	
OFERTA	-6%	Gatilho Ducha Higiênica Com Crivo - Blukit - Br	Cód. 1570736622	(0)	R$ 25,79 cada				duchas-higienicas		R$ 23,99cada	
OFERTA	-16%	Ducha Higiênica Square Volta 1/4 Gatilho Quadrado Metal Abs	Cód. 1571255396	(0)	R$ 107,38 cada				duchas-higienicas		R$ 89,48cada	
		Ducha Higiênica Branca Com Registro Cromado Cc11 Doan	Cód. 1568026210	(0)					duchas-higienicas		R$ 45,90cada	
OFERTA	-35%	Ducha Higiênica Preto Fosco Ducha Para Banheiro Com Registro	Cód. 1567197998	(0)	R$ 283,33 cada				duchas-higienicas		R$ 183,90cada	
OFERTA	-9%	Kit Flexivel Quadrado Com Suporte Para Ducha Manual Deca Red	Cód. 1571496777	(0)	R$ 1.099,90 cada		R$ 999,90cada		duchas-higienicas		8x de R$ 124,99 s/juros	
OFERTA	-34%	Ducha Higienica Com Trava - Cromado	Cód. 1571417670	(0)	R$ 141,18 cada				duchas-higienicas		R$ 92,31cada	
		Ducha Higiênica Quadrada 1/4 De Volta Rose Gold Brilhante	Cód. 1571622494	(0)			R$ 319,90cada	3x de R$ 106,63 s/juros	duchas-higienicas			
OFERTA	-4%	Ducha Higiênica Docol Trio 1258106 Com Registro Branco / Crom...	Cód. 1570897046	R$ 285,90 cada	R$ 274,46cada		à vista no pix		duchas-higienicas		R$ 285,90 em até 2x de R$ 142,95 s/juros	(0)
Kit Ducha Higiênica Gatilho Quadrado + Flexível 1,80 Cromado	Cód. 1571044573	(0)	R$ 53,99cada	Cód. 89361804	(0)		R$ 890,00cada		duchas-higienicas		8x de R$ 111,25 s/juros	Ducha Higiênica Elétrica 1,2m Branca 4T Cardal 220V
		Ducha Higiênica C/derivação - Slim	Cód. 1567614164	(0)			R$ 339,77cada	3x de R$ 113,26 s/juros	duchas-higienicas			
OFERTA	-10%	Ducha Higiênica Vintage Retrô Preto	Cód. 1568819249	(0)	R$ 729,00 cada		R$ 649,00cada		duchas-higienicas		6x de R$ 108,17 s/juros	
		Ducha Higiênica Chuveirinho Intima Banheiro 120 Cm Preta C65	Cód. 1571312275	(0)					duchas-higienicas		R$ 71,99cada	
OFERTA	-5%	Ducha Higiênica Zeta 2195 Cromada Tigre	Cód. 1566948416	(0)	R$ 395,75 cada		R$ 375,96cada		duchas-higienicas		3x de R$ 125,32 s/juros	
OFERTA	-5%	Ducha Higiênica Exacta Cromado Metais - Tigre	Cód. 1566948413	(0)	R$ 251,90 cada		R$ 239,30cada		duchas-higienicas		2x de R$ 119,65 s/juros	
		Ducha Higiênica C/ Derivação Desviador Registro Duas Saídas L...	Cód. 1570666717	(0)			R$ 319,90cada	3x de R$ 106,63 s/juros	duchas-higienicas			
		Ducha Higienica Luxo Banho Aço Inox Chuveirinho Cromo Intimo...	Cód. 1570589523	(0)					duchas-higienicas		R$ 179,90cada	
		Ducha Higienica Luxo De Mao Suporte Intimo Chuveirinho Metal...	Cód. 1570589520	(0)					duchas-higienicas		R$ 174,60cada	
