Situacao	Var_Desconto	Descricao	Codigo	Preco_Original	Preco_A_Vista	Preço_A_Credito	Parcela	Valor_Parcela	Produto	Desconsiderar	Desmembrar	Avaliacao
OFERTA	-16%	Smart Tv 43 Pol Android D-led 2 Hdmi 2 Usb Wi-fi Aiwa	Cód. 1571176426	(0)	R$ 2.158,80 cada		R$ 1.798,80cada		tv		8x de R$ 224,85 s/juros	
OFERTA	-37%	"Samsung Smart Tv 65"" Neo Qled 8k 65qn700b 2022 Mini Led Pro..."	Cód. 1570765751	(0)	R$ 16.799,00 cada		R$ 10.449,00cada		tv		8x de R$ 1.306,12 s/juros	
		Smart Tv 65 Ambilight Philips 4k Google Tv Ultra Hd	Cód. 1571606181	(0)			R$ 3.899,90cada	8x de R$ 487,49 s/juros	tv			
		"Smart Tv Led 75"" Philips 75pug7906/78 4k Uhd Com Wi-fi, 2 Usb..."	Cód. 1570560587	(0)			R$ 11.999,00cada	8x de R$ 1.499,87 s/juros	tv			
		Smart Tv Samsung 85 Polegadas Qled 4k Uhd Qn85q70tagxzd	Cód. 1567199370	R$ 14.999,00cada					tv		8x de R$ 1.874,87 s/juros	
		Smart Tv Samsung 50 Polegadas Qled 4k Ultra Qn50q60tagxzd	Cód. 1567199208	R$ 3.199,00cada					tv		8x de R$ 399,87 s/juros	
		"Smart Tv Led Lg 24"" Hd 24tl520s Wi-fi Integrado Usb Hdmi Webo..."	Cód. 1567102139	R$ 1.449,00cada					tv		8x de R$ 181,12 s/juros	
OFERTA	-14%	Smart Tv Samsung 75 Polegadas Uhd Crystal Un75tu8000gxzd	Cód. 1567043704	R$ 5.629,00 cada	R$ 4.829,00cada				tv		8x de R$ 603,62 s/juros	
		Smart Tv 75 Philips 4k 75pug8808 Ambilight Android	Cód. 1571606180	R$ 8.998,99cada					tv		8x de R$ 1.124,87 s/juros	
		"Smart Tv Android Qled 55"" Ultra Hd 4k Philco Ptv55m82agcibbl"	Cód. 1570679923	R$ 4.089,99cada					tv		8x de R$ 511,25 s/juros	
		Tv Philips 65 Smart 4k Mini Led Ambilight Android 65pml9507/...	Cód. 1571099229	R$ 8.599,00cada					tv		8x de R$ 1.074,87 s/juros	
		Smart Tv 70 4k Lg Uhd Thinq Ai Alexa Google Assistente 70ur87...	Cód. 1571598076	R$ 4.579,00cada					tv		8x de R$ 572,37 s/juros	
OFERTA	-49%	Smart Tv Oled 4k Uhd 65 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483065	R$ 20.967,18 cada	R$ 10.652,90cada				tv		8x de R$ 1.331,61 s/juros	
OFERTA	-29%	Smart Gaming Tv 50 Polegadas Neo Qled 4k Samsung - Qn50qn90ca...	Cód. 1571483064	R$ 5.999,00 cada	R$ 4.220,90cada				tv		8x de R$ 527,61 s/juros	
		"Smart Tv Led 75"" Ultra Hd 4k Lg 75ur871c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492413	R$ 6.999,00cada					tv		8x de R$ 874,87 s/juros	
		"Smart Tv Lg 42"" 4k Oled Evo Com Inteligência Artificial Oled4..."	Cód. 1570476634	R$ 6.283,16cada					tv		8x de R$ 785,39 s/juros	
		"Smart Tv Led Hq Hd 32"" Hqstv32np - Bivolt"	Cód. 1568255406	R$ 919,00cada					tv		8x de R$ 114,87 s/juros	
OFERTA	-12%	Smart Tv 32” Philco Led Ptv32d10n5skh Dolby Audio Bivolt	Cód. 1567588964	R$ 1.599,90 cada	R$ 1.399,90cada				tv		8x de R$ 174,99 s/juros	
		Monitor 29wl500 Ips Fullhd Tela 29 Ultrawide 5 Ms Lg	Cód. 1570564092	R$ 1.111,00cada					tv		8x de R$ 138,87 s/juros	
OFERTA	-6%	Smart Tv 55” Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	Cód. 1571567707	R$ 3.000,90 cada	R$ 2.799,90cada				tv		8x de R$ 349,99 s/juros	
		Smart Tv 40” Philco Led Ptv40g65rch Dolby Audio Bivolt	Cód. 1569912757	R$ 1.718,11cada					tv		8x de R$ 214,76 s/juros	
		Smart Tv 55 Polegadas 55pug7406/78 Dled Uhd 4k Netflix Youtub...	Cód. 1569135058	R$ 3.499,99cada					tv		8x de R$ 437,50 s/juros	
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	Cód. 1570903611	R$ 4.099,00cada					tv		8x de R$ 512,37 s/juros	
		Smart Tv Toshiba 55 Polegadas 4k 55c350l	Cód. 1571026032	R$ 2.899,00cada					tv		8x de R$ 362,37 s/juros	
OFERTA	-40%	"Smart Tv Lg Lcd 55"" Uhd Thinq Ai Hdr Bluetooth Alexa Google A..."	Cód. 1571492414	R$ 4.999,00 cada	R$ 2.978,49cada				tv		8x de R$ 372,31 s/juros	
		"Tv Led 32"" Hd Lg 32lt330hbsb 2 Hdmi 1 Usb Pro"	Cód. 1567096906	R$ 1.669,24cada					tv		8x de R$ 208,65 s/juros	
OFERTA	-10%	Smart Tv 55” Philco 4k Ptv55g52r2c Roku Tv Led Dolby Audio Bi...	Cód. 1570679920	R$ 2.599,90 cada	R$ 2.339,91cada		à vista no pix		tv		R$ 2.599,90 em até 8x de R$ 324,99 s/juros	
OFERTA	-6%	"Smart Tv Qled 75"" Google Tv Uhd 4k Tcl C835 Comando De Voz Hd..."	Cód. 1570851235	R$ 8.999,00 cada	R$ 8.459,06cada		à vista no pix		tv		R$ 8.999,00 em até 8x de R$ 1.124,87 s/juros	
		"Smart Tv Samsung 70"" Crystal Uhd 4k 70cu8000 2023 Painel Dyn..."	Cód. 1571333652	R$ 7.899,00cada					tv		8x de R$ 987,37 s/juros	
		"Smart Tv Lg 86"" 4k Nanocell Com Inteligência Artificial Ai Th..."	Cód. 1570765749	R$ 9.499,00cada					tv		8x de R$ 1.187,37 s/juros	
OFERTA	-21%	Smart Tv 65 Samsung Business Uhd 4k Bluetooth 3 Hdmi, 1 Usb,	Cód. 1567588963	R$ 4.699,00 cada	R$ 3.699,00cada				tv		8x de R$ 462,37 s/juros	
OFERTA	-7%	"Smart Tv Android Led 32"" Hd Tcl 32s615 Com Google Assistant 2..."	Cód. 1567588965	R$ 1.678,80 cada	R$ 1.558,80cada				tv		8x de R$ 194,85 s/juros	
OFERTA	-14%	Tv 24” Philco Led Ptv24n91dfrh Hd Receptor Digital Bivolt	Cód. 1571571765	R$ 999,90 cada	R$ 859,90cada				tv		8x de R$ 107,49 s/juros	
OFERTA	-7%	"Smart Tv Android Led 43"" Full Hd Tcl 43s615 2 Hdmi 1 Usb Wi-f..."	Cód. 1568065821	R$ 2.338,80 cada	R$ 2.158,80cada				tv		8x de R$ 269,85 s/juros	
OFERTA	-25%	"Smart Tv 4k Lg Oled Evo 55"" Polegadas, Bluetooth, 120hz, Thin..."	Cód. 1571598071	R$ 10.899,00 cada	R$ 8.098,29cada				tv		8x de R$ 1.012,29 s/juros	
		"Smart Tv Led 75"" Philips 75pml9507/78 4k Uhd Andr C/ Wi-fi, 3..."	Cód. 1571604530	R$ 13.999,00cada					tv		8x de R$ 1.749,87 s/juros	
		Smart Tv Dled 50 4k Multi 3 Hdmi 2 Usb Wi-fi - Tl032m	Cód. 1571389672	R$ 3.290,00cada					tv		8x de R$ 411,25 s/juros	
		"Smart Tv Led 32"" Hd Multilaser Tl020 Conversor Digital Extern..."	Cód. 1567187262	R$ 1.699,00cada					tv		8x de R$ 212,37 s/juros	
OFERTA	-36%	Tv 55 Smart Lg 4k 55un731c0sc	Cód. 1567096904	R$ 5.689,00 cada	R$ 3.619,00cada				tv		8x de R$ 452,37 s/juros	
		Smart Tv Samsung 50 Polegadas 4k Crystal Un50au7700gx	Cód. 1567494614	R$ 3.199,00cada					tv		8x de R$ 399,87 s/juros	
OFERTA	-35%	"Samsung Smart Tv 55"" Qled The Frame 2022 55ls03b Tela Matte"	Cód. 1569938131	R$ 6.799,00 cada	R$ 4.399,00cada				tv		8x de R$ 549,87 s/juros	
		"Smart Tv Led 50"" Ultra Hd 4k Tcl Roku 50rp630 Comando De Voz"	Cód. 1571598073	R$ 2.799,00cada					tv		8x de R$ 349,87 s/juros	
		Smart Tv Samsung Uhd Processador Crystal 4k 55au7700 Tela Sem...	Cód. 1567494606	R$ 3.588,00cada					tv		8x de R$ 448,50 s/juros	
		"Smart Tv Samsung Qled 4k 65"" Com Wifi, Bluetooth, Controle Re..."	Cód. 1571311420	R$ 4.789,00cada					tv		8x de R$ 598,62 s/juros	
OFERTA	-9%	"Samsung Smart TV 65"" QLED 4K 65Q80T, Pontos Quânticos, Modo G..."	Cód. 1567199212	R$ 7.199,00 cada	R$ 6.499,00cada				tv		8x de R$ 812,37 s/juros	
OFERTA	-25%	Smart Tv Samsung 50 Polegadas 4k Uhd Crystal Un50tu7020gxzd	Cód. 1567227044	R$ 4.199,00 cada	R$ 3.149,00cada				tv		8x de R$ 393,62 s/juros	
OFERTA	-9%	"Smart Tv Lg 65"" 4k Uhd Com Inteligência Artificial 65uq8050ps..."	Cód. 1570670539	R$ 9.899,00 cada	R$ 8.999,00cada				tv		8x de R$ 1.124,87 s/juros	
		"Tv Philco 32"" Ph32f33dg Led Bivolt"	Cód. 1566729703	R$ 1.562,32cada					tv		8x de R$ 195,29 s/juros	
		Tv 32” Philco Led Ptv32g50d Hd Receptor Digital Bivolt	Cód. 1566764596	R$ 1.579,90cada					tv		8x de R$ 197,49 s/juros	
		"Smart Tv Lg 55"" 4k Nanocell Com Inteligência Artificial 55nan..."	Cód. 1570765756	R$ 4.398,00cada					tv		8x de R$ 549,75 s/juros	
		Tv Philips 75 Smart 4k Ambilight Android The One 75pug8807/78	Cód. 1571490011	R$ 8.829,90cada					tv		8x de R$ 1.103,74 s/juros	
		Smart Tv Samsung 55 Polegadas Qled 4k Uhd Qn55q80tagxzd	Cód. 1567199211	R$ 5.199,00cada					tv		8x de R$ 649,87 s/juros	
		Smart Tv Oled 4k Uhd 55 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483066	R$ 6.999,90cada					tv		8x de R$ 874,99 s/juros	
		Smart Tv Qled 55 4k Toshiba 55m550l Vidaa 3 Hdmi 2 Usb Wi-fi	Cód. 1570939718	R$ 2.999,00cada					tv		8x de R$ 374,87 s/juros	
		"Samsung Smart Gaming Tv 50"" Neo Qled 4k 50qn90b 2022 Mini Le..."	Cód. 1570015725	R$ 14.899,00cada					tv		8x de R$ 1.862,37 s/juros	
OFERTA	-36%	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55...	Cód. 1571592315	R$ 9.612,28 cada	R$ 6.128,20cada				tv		8x de R$ 766,02 s/juros	
		Smart Tv 75 4k Lg Nanocell Thinq Ai Alexa Google Assistente 7...	Cód. 1571511319	R$ 6.999,00cada					tv		8x de R$ 874,87 s/juros	
		"Smart Tv Lg 65"" 4k Oled Evo Com Inteligência Artificial Oled6..."	Cód. 1570765744	R$ 10.712,00cada					tv		8x de R$ 1.339,00 s/juros	
OFERTA	-17%	"Smart Tv Britânia 42"" Btv42g70n5cf Full Hd Led - Netflix Bivo..."	Cód. 1567965855	R$ 2.299,90 cada	R$ 1.889,90cada				tv		8x de R$ 236,24 s/juros	
OFERTA	-6%	"Smart Tv Android Led 40"" Full Hd Tcl 40s615 Com Google Assist..."	Cód. 1567588966	R$ 2.099,00 cada	R$ 1.973,06cada		à vista no pix		tv		R$ 2.099,00 em até 8x de R$ 262,37 s/juros	
		Tv 43 Fhd Smart Android Tl046m Multilaser	Cód. 1571587757	R$ 1.999,00cada					tv		8x de R$ 249,87 s/juros	
		"Samsung Smart Tv 32"" Qled The Frame 2022 32ls03b Tela Matte"	Cód. 1570438114	R$ 2.999,90cada					tv		8x de R$ 374,99 s/juros	
		Smart Tv Philco 40” Ph40r86dsgw Led Bivolt	Cód. 1552054804	R$ 1.799,00cada					tv		8x de R$ 224,87 s/juros	
OFERTA	-28%	"Samsung Smart Tv Qled 4k The Sero 2022 43"" Tela Matte Tv Ve..."	Cód. 1570438112	R$ 10.541,00 cada	R$ 7.499,00cada				tv		8x de R$ 937,37 s/juros	
		"Smart Tv Konka Led 32"" Design Sem Bordas, Google Assistant E"	Cód. 1570573606	R$ 1.044,00cada					tv		8x de R$ 130,50 s/juros	
OFERTA	-28%	"Samsung Smart Tv 75"" Qled The Frame 2022 75ls03b Tela Matte"	Cód. 1569938132	R$ 17.399,00 cada	R$ 12.399,00cada				tv		8x de R$ 1.549,87 s/juros	
OFERTA	-9%	Tv Philips 32 Polegadas 32phg6918 Smart Andr 3 Hdmi 2 Usb Wif...	Cód. 1571560954	R$ 1.530,50 cada	R$ 1.378,85cada				tv		8x de R$ 172,36 s/juros	
		"Samsung Smart Tv 85"" Crystal Uhd 4k 85bu8000 2022 Painel Dyn..."	Cód. 1569938127	R$ 9.699,00cada					tv		8x de R$ 1.212,37 s/juros	
		Smart Tv Samsung 58 Polegadas Uhd Crystal Un58tu7000gxzd	Cód. 1567035850	R$ 2.179,00cada					tv		8x de R$ 272,37 s/juros	
		"Smart Tv Samsung 50"" Uhd 4k 50cu7700 2023 Processador Crysta..."	Cód. 1571333656	R$ 2.383,10cada					tv		8x de R$ 297,89 s/juros	
		Smart Tv Aoc 39 Polegadas Hd Roku Tv Série 5195	Cód. 1570571390	R$ 1.599,00cada					tv		8x de R$ 199,87 s/juros	
		Smart Tv Led 43 Polegadas Full Hd Aoc Com Wi-fi Entradas Hdm...	Cód. 1566945335	R$ 2.499,90cada					tv		8x de R$ 312,49 s/juros	
		"Samsung Smart Tv 32"" Qled The Frame 2023 Ls03c Tela Matte D..."	Cód. 1571440093	R$ 3.429,00cada					tv		8x de R$ 428,62 s/juros	
		"Tv Led 24"" Hq 2 Hdmi 2 Usb 60hz E Conversor Digital Externo"	Cód. 1570815177	R$ 699,00cada					tv		6x de R$ 116,50 s/juros	
OFERTA	-11%	Tv 50p Aoc Led Roku Smart 4k Wifi - 50u6125/78g	Cód. 1571024716	R$ 2.428,90 cada	R$ 2.138,90cada				tv		8x de R$ 267,36 s/juros	
		Samsung Smart Tv Qled 4k Q60c 2023 Modo Game Tela Sem Limit...	Cód. 1571311421	R$ 3.335,00cada					tv		8x de R$ 416,87 s/juros	
		"Smart Tv Led 50"" Ultra Hd 4k Samsung Lh50beahvggxzd Crystal 3..."	Cód. 1567588962	(0)			R$ 2.499,00cada	8x de R$ 312,37 s/juros	tv			
		"Samsung Smart Tv 32"" Qled The Frame 2023 Ls03c Tela Matte D..."	Cód. 1571440093	(0)			R$ 3.429,00cada	8x de R$ 428,62 s/juros	tv			
		"Tv Led 24"" Hq 2 Hdmi 2 Usb 60hz E Conversor Digital Externo"	Cód. 1570815177	(0)			R$ 699,00cada	6x de R$ 116,50 s/juros	tv			
OFERTA	-19%	"Samsung Smart Tv 65"" Qled The Frame 2022 65ls03b Tela Matte"	Cód. 1569938128	(0)	R$ 7.799,00 cada		R$ 6.299,00cada		tv		8x de R$ 787,37 s/juros	
OFERTA	-11%	Tv 50p Aoc Led Roku Smart 4k Wifi - 50u6125/78g	Cód. 1571024716	(0)	R$ 2.428,90 cada		R$ 2.138,90cada		tv		8x de R$ 267,36 s/juros	
OFERTA	-13%	Smart Tv Qn75qn85cagxzd 4k 75 Polegadas Neo Qled 4 Hdmi 120hz...	Cód. 1571457358	(0)	R$ 15.780,72 cada		R$ 13.610,29cada		tv		8x de R$ 1.701,29 s/juros	
OFERTA	-24%	Smart Tv 50” Philco 4k Ptv50g10ag11sk Led Dolby Audio Bivolt	Cód. 1571069607	(0)	R$ 2.999,90 cada		R$ 2.259,90cada		tv		8x de R$ 282,49 s/juros	
		"Smart Tv Led 50"" Uhd 4k, Design Sem Bordas, Google Assistant"	Cód. 1570573608	(1)			R$ 1.889,00cada	8x de R$ 236,12 s/juros	tv			
		"Smart Tv Led 50"" Ultra Hd 4k Tcl Roku 50rp630 Comando De Voz"	Cód. 1571598073	(0)			R$ 2.799,00cada	8x de R$ 349,87 s/juros	tv			
		"Tv Lg 50"" Led 4k Uhd Smart Pro 50uq801c0sb.bwz"	Cód. 1570692512	(0)			R$ 3.499,00cada	8x de R$ 437,37 s/juros	tv			
OFERTA	-8%	"Smart Tv Lg 60"" 4k Uhd Com Inteligência Artificial 60uq8050ps..."	Cód. 1570476641	(0)	R$ 4.822,58 cada		R$ 4.427,30cada		tv		8x de R$ 553,41 s/juros	
OFERTA	-27%	Smart Tv 58” Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	Cód. 1570679924	(0)	R$ 3.999,90 cada		R$ 2.899,90cada		tv		8x de R$ 362,49 s/juros	
		"Smart Tv Samsung Qled 4k 65"" Com Wifi, Bluetooth, Controle Re..."	Cód. 1571311420	(0)			R$ 4.789,00cada	8x de R$ 598,62 s/juros	tv			
OFERTA	-33%	"Samsung Smart Tv 50"" Qled The Frame 2022 50ls03b Tela Matte"	Cód. 1569938133	(0)	R$ 5.999,00 cada		R$ 3.999,00cada		tv		8x de R$ 499,87 s/juros	
