Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
		Smart Tv Philco 32 Polegadas Hd Hdr Ptv32g70sbl	Cód. 1567091042	(0)	R$ 1.789,87cada		tv	8x de R$ 223,73 s/juros	
		Smart Tv 75 Philips 4k 75pug8808 Ambilight Android	Cód. 1571606180	(0)	R$ 8.998,99cada		tv	8x de R$ 1.124,87 s/juros	
		Smart Tv Qled 55 4k Toshiba 55m550l Vidaa 3 Hdmi 2 Usb Wi-fi	Cód. 1570939718	(0)	R$ 2.945,26cada		tv	8x de R$ 368,16 s/juros	
OFERTA	-7%	"Smart Tv Android Led 32"" Hd Tcl 32s615 Com Google Assistant 2..."	Cód. 1567588965		R$ 1.678,80 cada	R$ 1.558,80cada	tv	8x de R$ 194,85 s/juros	
		"Smart Tv Android Led 40"" Full Hd Tcl 40s5400a Google Assistan..."	Cód. 1571540591		R$ 2.269,00cada		tv	8x de R$ 283,62 s/juros	
		"Tv Lg 32"" Led 32lt330hbsb 2 Hdmi + Roku Express Full Hd Contr..."	Cód. 1570278781		R$ 1.748,90cada		tv	8x de R$ 218,61 s/juros	
		"Tv Led 32"" Hd Lg 32lt330hbsb 2 Hdmi 1 Usb Pro"	Cód. 1567096906		R$ 1.439,90cada		tv	8x de R$ 179,99 s/juros	
OFERTA	-33%	Smart Tv 43” Philco 4k Ptv43g7er2cpbl Led Roku Tv Quad Core B...	Cód. 1571503800		R$ 2.999,90 cada	R$ 1.999,90cada	tv	8x de R$ 249,99 s/juros	
		"Smart Tv Led 50"" Uhd 4k, Design Sem Bordas, Google Assistant"	Cód. 1570573608		R$ 1.889,00cada		tv	8x de R$ 236,12 s/juros	
OFERTA	-13%	Smart Tv Qn75qn85cagxzd 4k 75 Polegadas Neo Qled 4 Hdmi 120hz...	Cód. 1571457358		R$ 15.780,72 cada	R$ 13.610,29cada	tv	8x de R$ 1.701,29 s/juros	
		"Smart Tv Android Led 32"" Full Hd Tcl 32s5400af Google Assista..."	Cód. 1571535138		R$ 1.489,00cada		tv	8x de R$ 186,12 s/juros	
OFERTA	-28%	"Samsung Smart Tv Qled 4k The Sero 2022 43"" Tela Matte Tv Ve..."	Cód. 1570438112		R$ 10.541,00 cada	R$ 7.499,00cada	tv	8x de R$ 937,37 s/juros	
		Smart Tv Led 43 Polegadas Full Hd Aoc Com Wi-fi Entradas Hdm...	Cód. 1566945335		R$ 2.499,90cada		tv	8x de R$ 312,49 s/juros	
		"Tv Led 24"" Hq 2 Hdmi 2 Usb 60hz E Conversor Digital Externo"	Cód. 1570815177		R$ 699,00cada		tv	6x de R$ 116,50 s/juros	
		"Samsung Smart Tv 85"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385058		R$ 19.999,00cada		tv	8x de R$ 2.499,87 s/juros	
OFERTA	-35%	"Samsung Smart Tv 55"" Qled The Frame 2022 55ls03b Tela Matte"	Cód. 1569938131		R$ 6.799,00 cada	R$ 4.399,00cada	tv	8x de R$ 549,87 s/juros	
OFERTA	-22%	"Smart Tv 4k Lg Oled Evo 65"" Polegadas, Bluetooth, 120hz, Thin..."	Cód. 1571592316		R$ 16.997,70 cada	R$ 13.196,10cada	tv	8x de R$ 1.649,51 s/juros	
		Smart Tv 65 Ambilight Philips 4k Google Tv Ultra Hd	Cód. 1571606181		R$ 4.499,90cada		tv	8x de R$ 562,49 s/juros	
		"Smart Tv Led 24"" Hq 2 Hdmi 2 Usb Wi-fi Android 11 E Processad..."	Cód. 1570799036		R$ 799,00cada		tv	7x de R$ 114,14 s/juros	
		"Smart Tv Semp 50"" 4k Uhd Hdr Roku Wifi Dual Band Rk8600 – Biv..."	Cód. 1571045103		R$ 2.695,00cada		tv	8x de R$ 336,87 s/juros	
		"Smart Tv Led 43"" Google Tv Ultra Hd 4k Tcl 43p635 Comando De"	Cód. 1570851242		R$ 2.519,00cada		tv	8x de R$ 314,87 s/juros	
		"Smart Tv Android Led 43"" Full Hd Tcl 43s5400a Google Assistan..."	Cód. 1571540589		R$ 2.275,00cada		tv	8x de R$ 284,37 s/juros	
OFERTA	-38%	"Smart Tv Samsung 85"" Crystal Uhd 4k 85cu8000 2023 Painel Dyna..."	Cód. 1571333653		R$ 15.999,00 cada	R$ 9.848,90cada	tv	8x de R$ 1.231,11 s/juros	
		"Smart Tv Samsung 55"" Uhd 4k 55cu7700 2023 Processador Crysta..."	Cód. 1571333659		R$ 3.019,00cada		tv	8x de R$ 377,37 s/juros	
OFERTA	-46%	"Samsung Smart Tv 55"" Neo Qled 8k 55qn700b 2022 Mini Led Pro..."	Cód. 1570765754		R$ 12.399,00 cada	R$ 6.649,00cada	tv	8x de R$ 831,12 s/juros	
OFERTA	-44%	Tv 24” Philco Led Ptv24n91dfbrh Hd Receptor Digital Bivolt	Cód. 1570667691		R$ 1.499,90 cada	R$ 829,90cada	tv	8x de R$ 103,74 s/juros	
		"Smart Tv Led 75"" Ultra Hd 4k Lg 75ur871c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492413		R$ 6.999,00cada		tv	8x de R$ 874,87 s/juros	
OFERTA	-32%	"Smart Tv 4k Lg Oled Evo 55"" Polegadas, Bluetooth, 120hz, Thin..."	Cód. 1571598071		R$ 10.899,00 cada	R$ 7.386,00cada	tv	8x de R$ 923,25 s/juros	
OFERTA	-11%	Tv 50p Aoc Led Roku Smart 4k Wifi - 50u6125/78g	Cód. 1571024716		R$ 2.428,90 cada	R$ 2.138,90cada	tv	8x de R$ 267,36 s/juros	
OFERTA	-17%	"Smart Tv Britânia 42"" Btv42g70n5cf Full Hd Led - Netflix Bivo..."	Cód. 1567965855		R$ 2.299,90 cada	R$ 1.889,90cada	tv	8x de R$ 236,24 s/juros	
		"Smart Tv Lg 65"" 4k Oled Evo Com Inteligência Artificial Oled6..."	Cód. 1570765744		R$ 10.712,00cada		tv	8x de R$ 1.339,00 s/juros	
		Tv 39” Philco Led Ptv39n87d Hd Recepção Digital Bivolt	Cód. 1552051849		R$ 1.244,44cada		tv	8x de R$ 155,55 s/juros	
		"Smart Tv Semp 32"" Led Hd Roku Wifi Dual Band 32r6500 – Bivolt"	Cód. 1571045104		R$ 1.445,00cada		tv	8x de R$ 180,62 s/juros	
OFERTA	-15%	Tv Philips 32 Polegadas 32phg6918 Smart Andr 3 Hdmi 2 Usb Wif...	Cód. 1571560954		R$ 1.558,40 cada	R$ 1.320,80cada	tv	8x de R$ 165,10 s/juros	
