Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
		"Tv Philco 32"" Ph32f33dg Led Bivolt"	Cód. 1566729703		R$ 1.562,32cada		tv	8x de R$ 195,29 s/juros	
		Tv 32” Philco Led Ptv32g50d Hd Receptor Digital Bivolt	Cód. 1566764596		R$ 1.579,90cada		tv	8x de R$ 197,49 s/juros	
		Tv Philips 75 Smart 4k Ambilight Android The One 75pug8807/78	Cód. 1571490011		R$ 8.829,90cada		tv	8x de R$ 1.103,74 s/juros	
OFERTA	-17%	"Smart Tv Britânia 42"" Btv42g70n5cf Full Hd Led - Netflix Bivo..."	Cód. 1567965855		R$ 2.299,90 cada	R$ 1.889,90cada	tv	8x de R$ 236,24 s/juros	
		"Smart Tv Led 32"" Hd Multilaser Tl020 Conversor Digital Extern..."	Cód. 1567187262		R$ 1.699,00cada		tv	8x de R$ 212,37 s/juros	
OFERTA	-21%	Smart Tv 32” Philco Led Ptv32d10n5skh Dolby Audio Bivolt	Cód. 1567588964		R$ 1.599,90 cada	R$ 1.259,90cada	tv	8x de R$ 157,49 s/juros	
OFERTA	-26%	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	Cód. 1571587758		R$ 1.558,80 cada	R$ 1.138,80cada	tv	8x de R$ 142,35 s/juros	
OFERTA	-10%	"Tv 24"" Philco Led Ptv24n19d Hd Receptor Digital Bivolt"	Cód. 1567296780		R$ 972,12 cada	R$ 874,91cada	tv	R$ 972,12 em até 8x de R$ 121,51 s/juros	à vista no pix
OFERTA	-28%	"Samsung Smart Tv Qled 4k The Sero 2022 43"" Tela Matte Tv Ve..."	Cód. 1570438112		R$ 10.541,00 cada	R$ 7.499,00cada	tv	8x de R$ 937,37 s/juros	
OFERTA	-18%	Smart Tv Android D-led 4k 50 Pol 3 Hdmi 2 Usb Wi-fi Bl-02 Aiwa	Cód. 1571176427		R$ 2.926,40 cada	R$ 2.386,40cada	tv	8x de R$ 298,30 s/juros	
		"Tv Led 32"" Hd Lg 32lt330hbsb 2 Hdmi 1 Usb Pro"	Cód. 1567096906		R$ 1.199,00cada		tv	8x de R$ 149,87 s/juros	
OFERTA	-5%	Tv Philips 55 Polegadas Smart 4k Ambilight Com Comando De Voz	Cód. 1570535775		R$ 3.622,11 cada	R$ 3.437,90cada	tv	8x de R$ 429,74 s/juros	
OFERTA	-21%	"Smart Tv Android Led 32"" Hd Philips 32phg6917 3 Hdmi 2 Usb Wi..."	Cód. 1570582441		R$ 1.782,50 cada	R$ 1.395,50cada	tv	8x de R$ 174,44 s/juros	
		Smart Tv 55 Polegadas 55pug7406/78 Dled Uhd 4k Netflix Youtub...	Cód. 1569135058		R$ 3.499,99cada		tv	8x de R$ 437,50 s/juros	
OFERTA	-30%	"Smart Tv 32"" Britânia Btv32g23agssgblh Led Dolby Audio Bivolt"	Cód. 1571598070		R$ 1.499,90 cada	R$ 1.039,90cada	tv	8x de R$ 129,99 s/juros	
OFERTA	-17%	"Smart Tv Android Led 32"" Full Hd Tcl 32s5400af Google Assista..."	Cód. 1571535138		R$ 1.499,00 cada	R$ 1.239,00cada	tv	8x de R$ 154,87 s/juros	
OFERTA	-17%	Smart Tv 32” Philco Led Ptv32g23agssblh Android Tv Bivolt	Cód. 1571598069		R$ 1.399,90 cada	R$ 1.159,90cada	tv	8x de R$ 144,99 s/juros	
		Smart Tv 86 4k Lg Uhd Thinq Ai Alexa Google Assistente 86ur87...	Cód. 1571492416		R$ 8.755,00cada		tv	8x de R$ 1.094,37 s/juros	
OFERTA	-35%	"Samsung Smart Tv 55"" Qled The Frame 2022 55ls03b Tela Matte"	Cód. 1569938131		R$ 6.799,00 cada	R$ 4.399,00cada	tv	8x de R$ 549,87 s/juros	
OFERTA	-58%	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	Cód. 1566982230		R$ 4.999,90 cada	R$ 2.099,90cada	tv	8x de R$ 262,49 s/juros	
		"Tv Lg 32"" Led Hd Smart Pro 32lq621cbsb.awz"	Cód. 1570589972		R$ 1.499,00cada		tv	8x de R$ 187,37 s/juros	
OFERTA	-16%	Smart Tv 43 Pol Android D-led 2 Hdmi 2 Usb Wi-fi Aiwa	Cód. 1571176426		R$ 2.158,80 cada	R$ 1.798,80cada	tv	8x de R$ 224,85 s/juros	
		"Tv Lg 50"" Led 4k Uhd Smart Pro 50uq801c0sb.bwz"	Cód. 1570692512		R$ 2.999,00cada		tv	8x de R$ 374,87 s/juros	
OFERTA	-25%	"Smart Tv Android Led 40"" Full Hd Tcl 40s5400a Google Assistan..."	Cód. 1571540591		R$ 2.139,00 cada	R$ 1.599,00cada	tv	8x de R$ 199,87 s/juros	
		"Samsung Smart Tv 55"" Neo Qled 8k 55qn700b 2022 Mini Led Pro..."	Cód. 1570765754		R$ 7.208,90cada		tv	8x de R$ 901,11 s/juros	
		"Tv Led 24"" Hq 2 Hdmi 2 Usb 60hz E Conversor Digital Externo"	Cód. 1570815177		R$ 709,00cada		tv	7x de R$ 101,29 s/juros	
OFERTA	-49%	Smart Tv 43” Philco 4k Ptv43g7er2cpbl Led Roku Tv Quad Core B...	Cód. 1571503800		R$ 2.999,90 cada	R$ 1.529,90cada	tv	8x de R$ 191,24 s/juros	
OFERTA	-24%	Tv 24” Philco Led Ptv24n91dfrh Hd Receptor Digital Bivolt	Cód. 1571571765		R$ 999,90 cada	R$ 759,90cada	tv	7x de R$ 108,56 s/juros	
OFERTA	-10%	Tv Philips 32 Polegadas 32phg6918 Smart Andr 3 Hdmi 2 Usb Wif...	Cód. 1571560954		R$ 1.354,90 cada	R$ 1.219,41cada	tv	R$ 1.354,90 em até 8x de R$ 169,36 s/juros	à vista no pix
		"Smart Tv Led 24"" Hd Hq Hqstv24np Netflix Youtube Hdmi Usb Wi-..."	Cód. 1570267263		R$ 1.029,90cada		tv	8x de R$ 128,74 s/juros	
OFERTA	-43%	"Samsung Smart Gaming Tv 65"" Neo Qled 4k 65qn90b 2022 Mini Le..."	Cód. 1570015727		R$ 15.609,00 cada	R$ 8.819,90cada	tv	8x de R$ 1.102,49 s/juros	
OFERTA	-35%	"Smart Tv Samsung 85"" Crystal Uhd 4k 85cu8000 2023 Painel Dyna..."	Cód. 1571333653		R$ 15.999,00 cada	R$ 10.366,68cada	tv	8x de R$ 1.295,83 s/juros	
OFERTA	-10%	Smart Tv 58” Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi...	Cód. 1571199451		R$ 3.298,00 cada	R$ 2.968,20cada	tv	R$ 3.298,00 em até 8x de R$ 412,25 s/juros	à vista no pix
		Smart Tv 75 4k Lg Nanocell Thinq Ai Alexa Google Assistente 7...	Cód. 1571511319		R$ 6.999,00cada		tv	8x de R$ 874,87 s/juros	
OFERTA	-43%	Smart Tv Oled 4k Uhd 65 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483065		R$ 20.967,18 cada	R$ 11.797,69cada	tv	8x de R$ 1.474,71 s/juros	
OFERTA	-26%	"Smart Tv Led 50"" Ultra Hd 4k Tcl Roku 50rp630 Comando De Voz"	Cód. 1571598073		R$ 2.849,00 cada	R$ 2.099,00cada	tv	8x de R$ 262,37 s/juros	
		Smart Tv Qled 55 4k Toshiba 55m550l Vidaa 3 Hdmi 2 Usb Wi-fi	Cód. 1570939718		R$ 2.945,26cada		tv	8x de R$ 368,16 s/juros	
		"Smart Tv Lg 55"" 4k Quantum Dot Nanocell Com Inteligência Arti..."	Cód. 1571377262		R$ 4.736,90cada		tv	8x de R$ 592,11 s/juros	
		"Smart Tv Lg 86"" 4k Nanocell Com Inteligência Artificial Ai Th..."	Cód. 1570765749		R$ 9.755,70cada		tv	8x de R$ 1.219,46 s/juros	
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	Cód. 1570903611		R$ 4.099,00cada		tv	8x de R$ 512,37 s/juros	
OFERTA	-25%	"Smart Tv Lg 4k Nanocell 55"" Polegadas 55nano77sra Bluetooth,"	Cód. 1571511320		R$ 4.525,60 cada	R$ 3.380,80cada	tv	8x de R$ 422,60 s/juros	
OFERTA	-10%	Smart Tv 40” Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B...	Cód. 1571389671		R$ 1.608,00 cada	R$ 1.447,20cada	tv	R$ 1.608,00 em até 8x de R$ 201,00 s/juros	à vista no pix
OFERTA	-13%	"Samsung Smart Tv 85"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385058		R$ 15.999,00 cada	R$ 13.779,89cada	tv	8x de R$ 1.722,49 s/juros	
OFERTA	-13%	"Smart Tv Tcl 55"" 4k Uhd Hdr Google Assistant Borda Fina 55p63..."	Cód. 1571503871		R$ 2.899,00 cada	R$ 2.499,00cada	tv	8x de R$ 312,37 s/juros	
OFERTA	-58%	Smart Tv Philco Led 50 Polegadas 4k Uhd 2 Usb 4 Hdmi Wi Fi	Cód. 1566982230		R$ 4.999,90 cada	R$ 2.099,90cada	tv	8x de R$ 262,49 s/juros	
		"Tv Lg 32"" Led Hd Smart Pro 32lq621cbsb.awz"	Cód. 1570589972		R$ 1.499,00cada		tv	8x de R$ 187,37 s/juros	
OFERTA	-16%	Smart Tv 43 Pol Android D-led 2 Hdmi 2 Usb Wi-fi Aiwa	Cód. 1571176426		R$ 2.158,80 cada	R$ 1.798,80cada	tv	8x de R$ 224,85 s/juros	
OFERTA	-7%	Smart Tv 55” Philco Ptv55g7eagcpbl 4k Led Dolby Audio Bivolt	Cód. 1571567707		R$ 2.700,90 cada	R$ 2.499,90cada	tv	8x de R$ 312,49 s/juros	
		"Tv Lg 50"" Led 4k Uhd Smart Pro 50uq801c0sb.bwz"	Cód. 1570692512		R$ 2.999,00cada		tv	8x de R$ 374,87 s/juros	
OFERTA	-25%	"Smart Tv Android Led 40"" Full Hd Tcl 40s5400a Google Assistan..."	Cód. 1571540591		R$ 2.139,00 cada	R$ 1.599,00cada	tv	8x de R$ 199,87 s/juros	
OFERTA	-43%	"Samsung Smart Gaming Tv 65"" Neo Qled 4k 65qn90b 2022 Mini Le..."	Cód. 1570015727		R$ 15.609,00 cada	R$ 8.819,90cada	tv	8x de R$ 1.102,49 s/juros	
OFERTA	-49%	Smart Tv 43” Philco 4k Ptv43g7er2cpbl Led Roku Tv Quad Core B...	Cód. 1571503800		R$ 2.999,90 cada	R$ 1.529,90cada	tv	8x de R$ 191,24 s/juros	
OFERTA	-35%	"Smart Tv Samsung 85"" Crystal Uhd 4k 85cu8000 2023 Painel Dyna..."	Cód. 1571333653		R$ 15.999,00 cada	R$ 10.366,68cada	tv	8x de R$ 1.295,83 s/juros	
		"Samsung Smart Tv 55"" Neo Qled 8k 55qn700b 2022 Mini Led Pro..."	Cód. 1570765754		R$ 7.208,90cada		tv	8x de R$ 901,11 s/juros	
		"Smart Tv Lg 55"" 4k Quantum Dot Nanocell Com Inteligência Arti..."	Cód. 1571377262		R$ 4.736,90cada		tv	8x de R$ 592,11 s/juros	
		"Smart Tv Lg 86"" 4k Nanocell Com Inteligência Artificial Ai Th..."	Cód. 1570765749		R$ 9.755,70cada		tv	8x de R$ 1.219,46 s/juros	
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	Cód. 1570903611		R$ 4.099,00cada		tv	8x de R$ 512,37 s/juros	
OFERTA	-10%	Smart Tv 58” Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi...	Cód. 1571199451		R$ 3.298,00 cada	R$ 2.968,20cada	tv	R$ 3.298,00 em até 8x de R$ 412,25 s/juros	à vista no pix
		Smart Tv Qled 55 4k Toshiba 55m550l Vidaa 3 Hdmi 2 Usb Wi-fi	Cód. 1570939718		R$ 2.945,26cada		tv	8x de R$ 368,16 s/juros	
OFERTA	-43%	Smart Tv Oled 4k Uhd 65 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483065		R$ 20.967,18 cada	R$ 11.797,69cada	tv	8x de R$ 1.474,71 s/juros	
		Smart Tv 75 4k Lg Nanocell Thinq Ai Alexa Google Assistente 7...	Cód. 1571511319		R$ 6.999,00cada		tv	8x de R$ 874,87 s/juros	
		"Tv Led 24"" Hq 2 Hdmi 2 Usb 60hz E Conversor Digital Externo"	Cód. 1570815177		R$ 709,00cada		tv	7x de R$ 101,29 s/juros	
OFERTA	-26%	"Smart Tv Led 50"" Ultra Hd 4k Tcl Roku 50rp630 Comando De Voz"	Cód. 1571598073		R$ 2.849,00 cada	R$ 2.099,00cada	tv	8x de R$ 262,37 s/juros	
OFERTA	-24%	Tv 24” Philco Led Ptv24n91dfrh Hd Receptor Digital Bivolt	Cód. 1571571765		R$ 999,90 cada	R$ 759,90cada	tv	7x de R$ 108,56 s/juros	
OFERTA	-25%	"Smart Tv Lg 4k Nanocell 55"" Polegadas 55nano77sra Bluetooth,"	Cód. 1571511320		R$ 4.525,60 cada	R$ 3.380,80cada	tv	8x de R$ 422,60 s/juros	
OFERTA	-17%	Smart Tv 32” Philco Led Ptv32g23agssblh Android Tv Bivolt	Cód. 1571598069		R$ 1.399,90 cada	R$ 1.159,90cada	tv	8x de R$ 144,99 s/juros	
OFERTA	-10%	Tv Philips 32 Polegadas 32phg6918 Smart Andr 3 Hdmi 2 Usb Wif...	Cód. 1571560954		R$ 1.354,90 cada	R$ 1.219,41cada	tv	R$ 1.354,90 em até 8x de R$ 169,36 s/juros	à vista no pix
