Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	28	Cozinha 4 Pecas 13 Portas 2 Gavetas Paneleiro Duplo Em Aco Lu	1571403590		2168.32	2168.32	Cozinhas Completas	2023-10-05
Oferta	23	Cozinha Completa 7 Pecas Aereo E Paneleiro Com Portas Em Vidr	1571391468		4484.08	4484.12	Cozinhas Completas	2023-10-05
Oferta	27	Cozinha 4 Pecas 13 Portas 2 Gavetas Paneleiro Duplo Em Aco Ta	1571395428		2842.08	2842.10	Cozinhas Completas	2023-10-05
Oferta	25	Cozinha Completa 6 Pecas 18 Portas 2 Gavetas Paris Indekes Ch	1571384367		3473.60	3473.58	Cozinhas Completas	2023-10-05
Oferta	23	Cozinha Completa 7 Pecas 1 Paneleiro E Cristaleira Com Porta	1571391491		3905.12	3905.16	Cozinhas Completas	2023-10-05
Oferta	24	Cozinha Completa 9 Portas 3 Gavetas Torre Quente E Balcao Par	1571422161		2347.28	2347.26	Cozinhas Completas	2023-10-05
Oferta	25	Cozinha Completa 6 Pecas 18 Portas 2 Gavetas Paris Indekes Ch	1571384374		3757.76	3757.79	Cozinhas Completas	2023-10-05
Oferta	23	Cozinha Completa Com Armario E Balcao Para Pia Mel/grafite	1571403625		2926.16	2926.20	Cozinhas Completas	2023-10-05
Oferta	24	Cozinha Completa 5 Pecas Com Balcao Macadâmia Freijo/branco	1571422170		2494.64	2494.63	Cozinhas Completas	2023-10-05
Oferta	26	Armario De Cozinha 6 Portas 3 Gavetas Mega Natura/preto	1571473852		915.68	915.68	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada De Canto 10 Pecas Connect Duna/cr	1570650370		4842.88	4842.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada De Canto Completa 14 Pecas Connect Duna/cris	1570649543		4924.88	4924.90	Cozinhas Completas	2023-10-05
Oferta	29	Cozinha Modulada Compacta 3 Pecas Dama D02 Amendola/branco 	1570649925		843.92	843.90	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Modulada Completa 230cm Com Balcao E Armario Aereo Va	1570649716		719.88	719.90	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Modulada 11 Pecas Mdf York 27 Henn	1570651653		3588.96	3589.00	Cozinhas Completas	2023-10-05
Oferta	29	Armario De Cozinha Modulada 342cm 7 Pecas Torre Quente Dupla	1570650625		4436.88	4436.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada De Canto 11 Pecas Connect Duna/cr	1570649499		4962.88	4962.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada De Canto Completa 11 Pecas Belize Cinza  He	1570650881	0	5715.92	5715.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada De Canto Torre Quente Dupla 10 Pe	1570650518	0	4731.92	4731.90	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Modulada Completa 230cm Com Balcao E Armario Aereo Va	1570650430	0	719.88	719.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada De Canto Completa 13 Pecas 14 Portas 100%mdf	1570764080	0	5571.92	5571.90	Cozinhas Completas	2023-10-05
Oferta	17	Cozinha Modulada 3 Pecas Frcz7 Demobile	1570776126	0	779.87	779.90	Cozinhas Completas	2023-10-05
Oferta	18	Cozinha Modulada 4 Pecas Frcz5 Demobile	1570776133	0	989.92	989.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada Completa 240cm 11 Pecas 10 Portas 3 Gavetas	1570764728	0	3250.88	3250.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada Completa 240cm 10 Pecas 11 Portas 3 Gavetas	1570764356	0	3408.88	3408.90	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada Completa 271cm 5 Pecas 9 Portas 100% Mdf Lia	1570764312	0	3162.88	3162.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada 351cm 7 Pecas Perfect H02 Duna/cr	1570764778	0	3646.88	3646.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada De Canto 13 Pecas 100% Mdf Perfec	1570763972	0	6142.88	6142.90	Cozinhas Completas	2023-10-05
Oferta	29	Armario De Cozinha Modulada 351cm Porta De Vidro 7 Pecas Perf	1570764260	0	4111.92	4111.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada 351cm 7 Pecas Connect Duna/crista	1570650266	0	3646.88	3646.90	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Modulada Completa 230cm Com Balcao E Armario Aereo Va	1570651075	0	719.88	719.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada 306cm 6 Pecas Torre Quente Dupla	1570650478	0	3547.92	3547.90	Cozinhas Completas	2023-10-05
Oferta	30	Armario De Cozinha Modulada 271cm 6 Pecas Connect Duna/crista	1570649947	0	2824.88	2824.90	Cozinhas Completas	2023-10-05
Oferta	13	Cozinha Modulada 4 Pecas Frcz4 Demobile	1570776125	0	1089.92	1089.90	Cozinhas Completas	2023-10-05
Oferta	18	Cozinha Modulada 4 Pecas Frcz3 Demobile	1570773934	0	999.92	999.90	Cozinhas Completas	2023-10-05
Oferta	12	Cozinha Modulada 4 Pecas Ftm004 Demobile	1570776120	0	1319.92	1319.90	Cozinhas Completas	2023-10-05
Oferta	18	Cozinha Modulada 4 Pecas Frcz3 Demobile	1570773937	0	999.92	999.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa Madesa Agata 290006 Com Armario E Balcao co	1568274143	0	2649.92	2490.91	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa Madesa Agata 180001 Com Armario E Balcao se	1568274142	0	1569.92	1475.71	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa Madesa Agata 290004 Com Armario E Balcao co	1568274146	0	2320.00	2180.79	Cozinhas Completas	2023-10-05
Oferta	4	Cozinha Completa Madesa Reims Xc310001 Com Armario E Balcao 	1568251054	0	1599.92	1535.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa Madesa Agata 270002 Com Armario E Balcao co	1568274137	0	2420.00	2274.79	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa Madesa Agata 180001 Com Armario E Balcao se	1568274147	0	1569.92	1475.71	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa 5 Pecas Veneza Cartagena Preto Clique Chique	1567981075	0	1056.24	1056.21	Cozinhas Completas	2023-10-05
